Problem Size, Plan Length, Nodes Expanded, Total Time
20, 12, 18, 0.0132163
20, 11, 19, 0.0138307
20, 13, 19, 0.0142478
20, 9, 13, 0.0126948
20, 14, 22, 0.0140704
20, 10, 18, 0.0129053
20, 13, 19, 0.0135698
20, 12, 16, 0.0153852
21, 16, 24, 0.0166039
21, 8, 12, 0.0148602
21, 13, 19, 0.0162856
21, 7, 11, 0.0146045
21, 10, 19, 0.0124952
21, 4, 8, 0.0117872
21, 9, 12, 0.0148887
21, 7, 11, 0.0144344
21, 10, 14, 0.0159492
21, 8, 12, 0.0116666
21, 12, 20, 0.0141291
21, 12, 16, 0.0161237
21, 12, 22, 0.0143292
21, 15, 21, 0.016646
21, 8, 11, 0.0146929
21, 11, 19, 0.0138371
21, 9, 13, 0.0121807
21, 15, 23, 0.0155625
21, 12, 21, 0.0152356
21, 12, 22, 0.0146353
22, 14, 37, 0.0167896
22, 6, 11, 0.0122088
22, 9, 13, 0.016957
22, 12, 16, 0.0186646
22, 6, 10, 0.0136216
22, 11, 24, 0.014866
22, 13, 21, 0.0175914
22, 12, 16, 0.017732
22, 10, 15, 0.0207453
22, 11, 15, 0.0171517
22, 8, 12, 0.0160507
22, 13, 20, 0.0182033
22, 12, 21, 0.0182227
22, 8, 12, 0.0156531
22, 12, 16, 0.017643
22, 8, 14, 0.0157782
22, 12, 22, 0.0175462
22, 12, 18, 0.015769
22, 8, 12, 0.0127806
22, 12, 18, 0.0168094
23, 13, 19, 0.018525
23, 9, 19, 0.0169852
23, 13, 20, 0.0152076
23, 8, 11, 0.016569
23, 8, 12, 0.0164263
23, 9, 13, 0.0174096
23, 12, 16, 0.0181371
23, 16, 28, 0.0203191
23, 12, 32, 0.0175435
23, 8, 12, 0.0178333
23, 13, 21, 0.0180044
23, 12, 16, 0.0184417
23, 11, 22, 0.0187135
23, 9, 12, 0.0166189
23, 7, 11, 0.0124382
23, 9, 14, 0.016502
23, 13, 23, 0.0162104
23, 13, 22, 0.0181596
23, 9, 13, 0.0153101
23, 10, 14, 0.0171084
